Customer Name,Email,Location,Model,Range(km),Vehicle Type,Launch Date,Description,Cost,Price (NPR),Units Sold,Sale Date,Payment Method,Sale Month number,Sale Month Name,Sale Year,Total Revenue,Profit
John Cantrell,moorechristian@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2024-01-22,Full Cash,1,January,2024,40680000,36094500
Michele Anderson,tpadilla@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-01-13,EMI,1,January,2023,6780000,2194500
Brian Jackson,deborah50@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-11,EMI,9,September,2023,12345000,9564375
Adam Watson,debra81@williams.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-27,EMI,9,September,2023,0,-2780625
Karen Cole,jacqueline67@gonzalez.org,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-02-08,EMI,2,February,2024,13560000,8974500
Rebecca Murphy,qjohnson@hotmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,0,2021-09-26,EMI,9,September,2021,0,-3982500
Kyle Elliott,rstark@bowers.com,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,2,2024-12-26,EMI,12,December,2024,11780000,7800250
Larry Spears,lisahall@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-02-06,EMI,2,February,2023,13560000,8974500
Jocelyn Simmons,mendezmadeline@hotmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-20,EMI,9,September,2023,8230000,5449375
Melissa Fletcher,mhunter@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2023-09-21,EMI,9,September,2023,20575000,17794375
Matthew Kidd,christopherbruce@yahoo.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-23,EMI,9,September,2023,8230000,5449375
Anne Kelley,cindylozano@hotmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-25,EMI,9,September,2023,4115000,1334375
Brandi Miller,adamslaura@holt-adams.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-09-02,EMI,9,September,2023,6780000,2194500
Darius Gray,prattamber@chen-harris.info,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-04-24,EMI,4,April,2024,13560000,8974500
Michael Alvarez,orodgers@yahoo.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-24,EMI,9,September,2023,0,-2780625
James Munoz,gharrell@tucker.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2022-11-03,Full Cheque,11,November,2022,33900000,29314500
Susan Soto,xlara@yahoo.com,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,2,2024-12-26,EMI,12,December,2024,11780000,7800250
Jason Bates,timnelson@hess.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-19,EMI,9,September,2023,4115000,1334375
Amber Green,jcollins@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2022-10-21,Full Cash,10,October,2022,0,-4585500
Jared Perez,lisaolson@yahoo.com,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,6,2024-12-26,EMI,12,December,2024,35340000,31360250
Eric Edwards,christophercarter@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-12-20,EMI,12,December,2023,0,-4585500
Teresa Lopez,jcampbell@henry.biz,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,2,2021-08-18,EMI,8,August,2021,11800000,7817500
Daniel Dunn,bryan66@lane-white.org,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-07-20,EMI,7,July,2023,20340000,15754500
Johnny Berry,smithabigail@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-15,EMI,9,September,2023,12345000,9564375
Katherine Little,bakerstephanie@hotmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,3,2021-07-07,EMI,7,July,2021,17700000,13717500
Michael Nelson,annadunlap@acevedo-hudson.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,6,2023-12-17,EMI,12,December,2023,24690000,21909375
Ruben Norman,turnermegan@acevedo.biz,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-02-06,Full Cash,2,February,2023,0,-4585500
Robert Harding,smithjonathan@taylor-nixon.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-02-16,Full Cheque,2,February,2023,33900000,29314500
Mr. Thomas Pierce,jmorgan@hotmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-12,EMI,9,September,2023,4115000,1334375
Jared Tucker,andrewwright@thompson.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2023-02-03,EMI,2,February,2023,40680000,36094500
Lisa Vaughn,sotojerry@perez.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,0,2021-06-26,Full Cash,6,June,2021,0,-3982500
Nicole Hodge,ryanramirez@kennedy.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-10-25,Full Cash,10,October,2023,13560000,8974500
David Baker,meganreilly@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-01-05,Full Cheque,1,January,2024,6780000,2194500
Danny Walker,katie91@parsons.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-03-28,EMI,3,March,2023,20340000,15754500
Michael Nelson,annadunlap@acevedo-hudson.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2023-12-02,EMI,12,December,2023,20575000,17794375
Michael Rosales,dmendoza@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2024-11-03,EMI,11,November,2024,20340000,15754500
Alison Diaz,nhoward@montoya-valdez.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-05-22,EMI,5,May,2024,13560000,8974500
Caitlin Daniel,heather79@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2024-06-07,Full Cheque,6,June,2024,0,-4585500
Timothy Yates,allisonmartin@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-11,EMI,9,September,2023,4115000,1334375
Michael Wood,ckennedy@carter.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2024-03-10,EMI,3,March,2024,20340000,15754500
Aaron Ramirez,rhammond@hotmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-17,EMI,9,September,2023,12345000,9564375
Timothy Jackson,carrie04@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2022-10-25,EMI,10,October,2022,0,-4585500
Mary Roberts,rogerselizabeth@stein-sullivan.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2024-09-02,EMI,9,September,2024,0,-2780625
Mark Cole,cooperamanda@cox-curtis.info,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,1,2024-01-24,EMI,1,January,2024,19500000,6337500
Christina Hammond,sarah80@jones.net,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,3,2021-07-24,Full Cash,7,July,2021,17700000,13717500
Martha Kane,adambeard@yahoo.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-18,EMI,9,September,2023,12345000,9564375
Curtis Young,joseschwartz@aguilar.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-12,EMI,9,September,2023,12345000,9564375
Nancy Benjamin,matthew10@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2024-08-14,Full Cheque,8,August,2024,33900000,29314500
Michael Alexander,joshua90@bray.info,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-04-11,Full Cash,4,April,2023,6780000,2194500
Cassidy Castro,ecarpenter@mendez-hanson.org,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-02-06,EMI,2,February,2024,13560000,8974500
Melinda Martinez,pamelaewing@carpenter.net,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2023-09-13,EMI,9,September,2023,20575000,17794375
Heidi Larson,maria20@may.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-23,EMI,9,September,2023,8230000,5449375
Emily Miller,zalexander@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-01-13,Full Cash,1,January,2023,20340000,15754500
Melissa Thomas,victoria41@hotmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,0,2021-05-16,EMI,5,May,2021,0,-3982500
Linda Meyer,beckdeborah@lewis-robbins.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2023-09-16,EMI,9,September,2023,20575000,17794375
Alexandra Rose,jenniferbruce@jordan.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2024-02-14,EMI,2,February,2024,33900000,29314500
Justin Chen,blackburntheresa@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-10-23,Full Cheque,10,October,2023,33900000,29314500
Janet Lawson,susan67@cannon.com,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,6,2024-12-27,EMI,12,December,2024,35340000,31360250
Kyle Hodge,lhampton@hotmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,0,2021-09-29,EMI,9,September,2021,0,-3982500
Kaitlyn Lane,sandradavid@miller.info,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2024-02-17,EMI,2,February,2024,8230000,5449375
Angelica Mccall,steve10@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-06-12,EMI,6,June,2023,0,-4585500
